test_id,source,dest,baseline_path_len,baseline_delay,baseline_rel_cost,baseline_res_cost,ga_path_len,ga_delay,ga_rel_cost,ga_res_cost
1,163,28,3,11.673026331438175,0.13947360228488231,0.0055529365429788065,3,11.673026331438175,0.13947360228488231,0.0055529365429788065
2,6,189,2,6.750591841022267,0.09029084654244074,0.0040979837282853725,2,6.750591841022267,0.09029084654244074,0.0040979837282853725
3,70,62,3,12.77051988496945,0.14799909519967663,0.005237222646338019,3,12.77051988496945,0.14799909519967663,0.005237222646338019
4,57,35,3,13.647408016801677,0.14734886839948613,0.0022491898880144514,2,13.660732100257881,0.050600313935679896,0.007961044845978541
5,188,26,3,12.732643007080089,0.14873706878119863,0.004160705291849139,3,12.732643007080089,0.14873706878119863,0.004160705291849139
6,173,189,3,12.586524342939253,0.18032803430589914,0.0027165562136035317,3,12.586524342939253,0.18032803430589914,0.0027165562136035317
7,228,139,4,14.590497798838408,0.11640571168335533,0.009097786456695294,3,14.469060154804936,0.09473206741855865,0.0031520458785882955
8,22,151,2,7.9708743811519485,0.0474001820304845,0.006797520726672793,2,7.9708743811519485,0.0474001820304845,0.006797520726672793
9,108,8,3,12.263088240830001,0.06196222028001832,0.003665774372369779,3,13.610319848118761,0.0998016910319873,0.008839401103201527
10,7,23,2,9.378790146821101,0.0919641169669272,0.0012728826556701253,2,9.378790146821101,0.0919641169669272,0.0012728826556701253
11,55,59,3,14.167151817268824,0.17351646382029745,0.002409277816225276,3,13.55549645204625,0.13976906452723098,0.008562148048871567
12,129,154,4,16.601186841538613,0.18493605922584233,0.004189212653403654,3,16.586189795857464,0.16331245184952056,0.006462217218228071
13,6,143,3,13.265069499285183,0.14924250454138135,0.009193474062722803,3,13.265069499285183,0.14924250454138135,0.009193474062722803
14,50,183,3,11.435714983353975,0.11065126528163796,0.002885049913528716,3,11.435714983353975,0.11065126528163796,0.002885049913528716
15,166,179,3,13.05336026390813,0.13894843120419959,0.0022947891280579065,3,13.05336026390813,0.13894843120419959,0.0022947891280579065
16,139,107,3,11.51284675983538,0.11549120605581868,0.003908195781033853,3,13.513067511935624,0.14692708626835424,0.0027317478919031135
17,56,114,2,10.469605357853435,0.05866200284401934,0.001919264722390266,2,10.469605357853435,0.05866200284401934,0.001919264722390266
18,150,71,2,6.097131174448192,0.06341284446513641,0.003314342573583274,2,6.097131174448192,0.06341284446513641,0.003314342573583274
19,207,222,3,13.614801453619759,0.13276587682751395,0.005106941912474449,3,13.614801453619759,0.13276587682751395,0.005106941912474449
20,1,194,3,10.945284711757965,0.07184524677917795,0.0026920158008449844,3,10.945284711757965,0.07184524677917795,0.0026920158008449844
